Province/State,Country/Region,Last Update,Confirmed,Suspected,Recovered,Death
Hubei,Mainland China,2/5/20 16:43,16678,,538,479
Guangdong,Mainland China,2/5/20 13:23,895,,49,0
Zhejiang,Mainland China,2/5/20 15:13,895,,78,0
Henan,Mainland China,2/5/20 15:03,764,,47,2
Hunan,Mainland China,2/5/20 15:23,661,,54,0
Jiangxi,Mainland China,2/5/20 1:33,548,,27,0
Anhui,Mainland China,2/5/20 13:43,530,,23,0
Chongqing,Mainland China,2/5/20 9:13,376,,15,2
Jiangsu,Mainland China,2/5/20 12:43,341,,23,0
Shandong,Mainland China,2/5/20 10:13,307,,15,0
Sichuan,Mainland China,2/5/20 10:13,301,,24,1
Beijing,Mainland China,2/5/20 5:43,253,,24,1
Shanghai,Mainland China,2/5/20 6:23,243,,15,1
Fujian,Mainland China,2/5/20 12:33,205,,11,0
Heilongjiang,Mainland China,2/5/20 12:13,190,,7,2
Shaanxi,Mainland China,2/5/20 8:43,165,,6,0
Guangxi,Mainland China,2/5/20 12:03,150,,13,0
Hebei,Mainland China,2/5/20 11:23,135,,6,1
Yunnan,Mainland China,2/5/20 7:43,124,,5,0
Hainan,Mainland China,2/5/20 16:43,99,,5,1
Liaoning,Mainland China,2/5/20 15:23,89,,4,0
Shanxi,Mainland China,2/5/20 15:23,81,,5,0
Tianjin,Mainland China,2/5/20 3:43,69,,2,1
Guizhou,Mainland China,2/5/20 12:33,64,,9,1
Gansu,Mainland China,2/5/20 16:23,62,,6,0
Jilin,Mainland China,2/5/20 11:03,54,,2,0
Inner Mongolia,Mainland China,2/5/20 8:53,42,,3,0
Ningxia,Mainland China,2/4/20 2:13,34,,1,0
Xinjiang,Mainland China,2/5/20 2:03,32,,0,0
,Singapore,2/5/20 16:33,28,,0,0
,Thailand,2/4/20 15:33,25,,5,0
,Japan,2/4/20 16:43,22,,1,0
Hong Kong,Hong Kong,2/5/20 13:13,21,,0,1
,South Korea,2/5/20 15:33,19,,0,0
Qinghai,Mainland China,2/5/20 3:13,17,,3,0
,Germany,2/3/20 20:53,12,,0,0
,Malaysia,2/5/20 15:43,12,,0,0
Taiwan,Taiwan,2/4/20 14:53,11,,0,0
Macau,Macau,2/4/20 4:43,10,,0,0
,Vietnam,2/3/20 21:43,8,,1,0
,France,2/1/20 1:52,6,,0,0
,United Arab Emirates,2/2/20 5:43,5,,0,0
New South Wales,Australia,2/1/20 18:12,4,,2,0
Victoria,Australia,2/1/20 18:12,4,,0,0
