ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
01/27/2020,,Ivory Coast,2020-01-27 23:59:00,1.0,0.0,0.0,Ivory Coast,SUB-SAHARAN AFRICA                 ,17654843.0,322460.0,54.8,0.16,-0.07,90.83,1400.0,50.9,14.6,9.75,13.84,76.41,2.0,35.11,14.84,0.279,0.171,0.55
02/28/2020,, Azerbaijan,2020-02-28 15:03:26,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
02/28/2020,,North Ireland,2020-02-28 05:43:02,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
03/08/2020,,Italy,2020-03-08 18:03:04,7375.0,366.0,622.0,Italy,WESTERN EUROPE                     ,58133509.0,301230.0,193.0,2.52,2.07,5.94,26700.0,98.6,430.9,27.79,9.53,62.68,,8.72,10.4,0.021,0.29100000000000004,0.688
03/08/2020,,South Korea,2020-03-08 12:53:03,7314.0,50.0,118.0,South Korea,ASIA (EX. NEAR EAST)         ,48846823.0,98480.0,496.0,2.45,0.0,7.05,17800.0,97.9,486.1,17.18,1.95,80.87,3.0,10.0,5.85,0.033,0.403,0.563
03/08/2020,,Iran,2020-03-08 11:03:30,6566.0,194.0,2134.0,Iran,ASIA (EX. NEAR EAST)         ,68688433.0,1648000.0,41.7,0.15,-0.84,41.58,7000.0,79.4,276.4,8.72,1.39,89.89,1.0,17.0,5.55,0.116,0.424,0.46
03/08/2020,,France,2020-03-08 18:03:04,1126.0,19.0,12.0,France,WESTERN EUROPE                     ,60876136.0,547030.0,111.3,0.63,0.66,4.26,27600.0,99.0,586.4,33.53,2.07,64.4,4.0,11.99,9.14,0.022,0.214,0.764
03/08/2020,,Germany,2020-03-08 21:03:03,1040.0,0.0,18.0,Germany,WESTERN EUROPE                     ,82422299.0,357021.0,230.9,0.67,2.18,4.16,27600.0,99.0,667.9,33.85,0.59,65.56,3.0,8.25,10.62,0.009000000000000001,0.29600000000000004,0.695
03/08/2020,Diamond Princess cruise ship,Others,2020-03-06 01:29:39,696.0,6.0,40.0,,,,,,,,,,,,,,,,,,,,
03/08/2020,,Spain,2020-03-08 20:33:02,673.0,17.0,30.0,Spain,WESTERN EUROPE                     ,40397842.0,504782.0,80.0,0.98,0.99,4.42,22000.0,97.9,453.5,26.07,9.87,64.06,3.0,10.06,9.72,0.04,0.295,0.665
03/08/2020,,Japan,2020-03-08 14:53:11,502.0,6.0,76.0,Japan,ASIA (EX. NEAR EAST)         ,127463611.0,377835.0,337.4,7.87,0.0,3.26,28200.0,99.0,461.2,12.19,0.96,86.85,3.0,9.37,9.16,0.017,0.258,0.725
03/08/2020,,Switzerland,2020-03-08 17:23:07,337.0,2.0,3.0,Switzerland,WESTERN EUROPE                     ,7523934.0,41290.0,182.2,0.0,4.05,4.39,32700.0,99.0,680.9,10.42,0.61,88.97,3.0,9.71,8.49,0.015,0.34,0.645
03/08/2020,,UK,2020-03-08 22:03:10,273.0,3.0,18.0,UK,WESTERN EUROPE                     ,60609153.0,244820.0,247.6,5.08,2.19,5.16,27700.0,99.0,543.5,23.46,0.21,76.33,3.0,10.71,10.13,0.005,0.237,0.758
03/08/2020,,Netherlands,2020-03-08 13:43:02,265.0,3.0,0.0,Netherlands,WESTERN EUROPE                     ,16491461.0,41526.0,397.1,1.09,2.91,5.04,28600.0,99.0,460.8,26.71,0.97,72.32,3.0,10.9,8.68,0.021,0.244,0.736
03/08/2020,,Sweden,2020-03-08 14:03:12,203.0,0.0,0.0,Sweden,WESTERN EUROPE                     ,9016596.0,449964.0,20.0,0.72,1.67,2.77,26800.0,99.0,715.0,6.54,0.01,93.45,3.0,10.27,10.31,0.011,0.282,0.7070000000000001
03/08/2020,,Belgium,2020-03-08 17:23:07,200.0,0.0,1.0,Belgium,WESTERN EUROPE                     ,10379067.0,30528.0,340.0,0.22,1.23,4.68,29100.0,98.0,462.6,23.28,0.4,76.32,3.0,10.38,10.27,0.01,0.24,0.7490000000000001
03/08/2020,,Norway,2020-03-08 21:03:03,176.0,0.0,0.0,Norway,WESTERN EUROPE                     ,4610820.0,323802.0,14.2,7.77,1.74,3.7,37800.0,100.0,461.7,2.87,0.0,97.13,3.0,11.46,9.4,0.021,0.415,0.564
